term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"nuclear","nuclear","18","1000","0.018","0.9779895930326917","0.06838924738385223"
"health","health","18","1000","0.018","-0.020253296686599285","-0.10158170202099999"
"extraction","extract","18","1000","0.018","0.7165333211697252","0.02371174153232882"
"decades","decad","18","1000","0.018","-0.21865283611883557","-0.2443719153914632"
"cover","cover","18","1000","0.018","-0.48804998837019387","-0.05451701095548057"
"bill","bill","18","1000","0.018","-0.12037344928600012","-0.12903557892530684"
"atmosphere","atmospher","18","1000","0.018","0.25882528339663674","-0.2583490167042255"
"storage","storag","17","1000","0.017","0.44872612476159207","-0.13985872182721312"
"species","speci","17","1000","0.017","1.2186337082278753","0.3382965699127201"
"regulations","regul","17","1000","0.017","0.0743194217158084","-0.17043673730399117"
"protection","protect","17","1000","0.017","-0.291675590072335","-0.053060183735682824"
"international","intern","17","1000","0.017","-0.40890148435888535","-0.13623129097322836"
"human","human","17","1000","0.017","0.07155087139843651","-0.003969464673053833"
"hemp","hemp","17","1000","0.017","1.2245136837906083","0.4715195897201063"
"harvesting","harvest","17","1000","0.017","0.8679538006185029","-0.05872734702997392"
"growth","growth","17","1000","0.017","0.1096914394338989","-0.3506348000484538"
"ethanol","ethanol","17","1000","0.017","2.003866695018885","-0.15006935800921425"
"terms","term","16","1000","0.016","-0.49870290847008797","-0.13316383858424258"
"stored","store","16","1000","0.016","0.2098653895723078","-0.10945180632467667"
"standard","standard","16","1000","0.016","-0.43366598848977694","-0.09807192197287715"
"scientists","scientist","16","1000","0.016","0.5611774960986988","-0.08831355682065592"
"management","manag","16","1000","0.016","-0.3858140760486017","-0.2547164307292857"
"loss","loss","16","1000","0.016","-0.32148665708664836","-0.37183828024542653"
"logging","log","16","1000","0.016","0.3165865693284953","0.24216747701614275"
"hydropower","hydropow","16","1000","0.016","1.806424321574548","0.0009124094148757855"
"fire","fire","16","1000","0.016","0.08255021361451755","-0.1662017213525124"
"cut","cut","16","1000","0.016","-0.36089063539321836","-0.2038439163915815"
"credit","credit","16","1000","0.016","-0.18907106247940236","-0.16152308430256015"
"annual","annual","16","1000","0.016","-0.34196709335803077","-0.23222013591700033"
"agreement","agreement","16","1000","0.016","-0.3192891546882094","-0.5614286272987308"
"work","work","15","1000","0.015","-0.39491259752477326","-0.23393931276439545"
"university","univers","15","1000","0.015","-0.11538148287584854","-0.011819457944011496"
"solutions","solut","15","1000","0.015","-0.1044755206421725","-0.36448554510187"
"people","peopl","15","1000","0.015","-0.18446132195468343","0.00452422527387999"
"local","local","15","1000","0.015","-0.3023672028421088","0.0570574668940667"
"hydro","hydro","15","1000","0.015","1.3475984845055902","0.24932675596551998"
"future","futur","15","1000","0.015","-0.33858004539037173","-0.32353835705856204"
"focus","focus","15","1000","0.015","-0.5765575181056095","-0.49851375549732485"
"end","end","15","1000","0.015","-0.47137072415485826","-0.14280641709789904"
"combined","combin","15","1000","0.015","-0.4829747751461406","-0.34297908033540625"
"co2","co2","15","1000","0.015","1.0292676284894249","1.0221703439211802"
"cellulosic","cellulos","15","1000","0.015","1.8937861854466302","-0.28035911538348446"
"carolina","carolina","15","1000","0.015","-0.170144469820881","1.7757725879097044"
"capacity","capac","15","1000","0.015","0.1193620721357697","-0.40258840121584794"
"called","call","15","1000","0.015","-0.5629277023358721","-0.046568215475549936"
"addition","addit","15","1000","0.015","-0.5825125828045677","-0.496577365576367"
"target","target","14","1000","0.014","-0.512196681390529","-0.22869096979074616"
"science","scienc","14","1000","0.014","0.3291616292303182","0.031282295055591505"
"revenue","revenu","14","1000","0.014","0.0011754786130556757","-0.5446108219133956"
"public","public","14","1000","0.014","-0.3238993637045153","-0.1599981642876911"
"profiles","profil","14","1000","0.014","-0.4083869171864942","0.09253103998123656"
"order","order","14","1000","0.014","-0.4508379882122147","-0.05389348924013907"
"methane","methan","14","1000","0.014","2.1491953657717824","-0.16587124816430085"
"living","live","14","1000","0.014","-0.13196872698796677","-0.12311692520216379"
"information","inform","14","1000","0.014","-0.29459418184129194","-0.09686852905292972"
"farms","farm","14","1000","0.014","0.9212585360052719","0.06261395473153261"
"continue","continu","14","1000","0.014","-0.5169497317410574","-0.36254017278572265"
"boilers","boiler","14","1000","0.014","1.466849055395907","-0.14162711409519774"
"services","servic","13","1000","0.013","-0.3555881754817829","-0.2621124063487263"
"relies","reli","13","1000","0.013","-0.5139735840234319","-0.35803715640014583"
"oppose","oppos","13","1000","0.013","-0.37388474646453324","-0.3191942956922135"
"negative","negat","13","1000","0.013","-0.3407810615030651","-0.14276515444935875"
"month","month","13","1000","0.013","-0.49559658036231535","-0.22715383682660312"
"megawatt","megawatt","13","1000","0.013","1.2779760473443598","-0.3967910427794124"
"limited","limit","13","1000","0.013","-0.5813394826467938","-0.3151343076175636"
"insect","insect","13","1000","0.013","0.886773206513349","0.18641401014473846"
"improve","improv","13","1000","0.013","-0.541639571413725","-0.5132349910645014"
"ground","ground","13","1000","0.013","-0.09346219627509941","-0.1448039409152485"
"grid","grid","13","1000","0.013","0.669811516045882","0.053019098866445166"
"greater","greater","13","1000","0.013","-0.4602195077924363","-0.3417097284548996"
"great","great","13","1000","0.013","-0.5845089735270688","0.005916681671879194"
"form","form","13","1000","0.013","-0.4764203409824904","0.03606070214693155"
"expected","expect","13","1000","0.013","-0.38563986345264145","-0.3765668187812828"
"eu","eu","13","1000","0.013","-0.06431205149750521","2.3510438666716422"
"environment","environ","13","1000","0.013","0.17291645913644282","-0.24226709507935246"
"designed","design","13","1000","0.013","-0.4883596453801047","-0.18716135296564615"
"department","depart","13","1000","0.013","-0.22215978698875224","-0.14773740916232347"
"current","current","13","1000","0.013","-0.393300042671279","-0.23856579245218892"
"bioenergy","bioenergi","13","1000","0.013","1.9266938544060308","-0.14231842086841182"
"association","associ","13","1000","0.013","-0.5249215033597674","-0.14480986745407143"
"administration","administr","13","1000","0.013","-0.18790100721862507","-0.21484833749420496"
"type","type","12","1000","0.012","-0.43315971923498153","0.0103809649637704"
"soil","soil","12","1000","0.012","0.8324722117779856","0.09133471458585045"
"sales","sale","12","1000","0.012","-0.17812511211465473","-0.29007601014105355"
"region","region","12","1000","0.012","-0.07876609722837441","-0.039835076415773184"
"primary","primari","12","1000","0.012","-0.4190787664207367","-0.17207142691271585"
"offered","offer","12","1000","0.012","-0.6524911156837496","-0.3217612628005655"
